district,mtr,bus,foot,minivan,car,company_bus,light_rail,taxi,residential_coach,ferry,others,total
CENTRAL & WESTERN,39191,17316,17873,6081,8705,1342,0,4510,1077,343,4603,101041
WAN CHAI,23502,16803,10558,3073,9097,1183,0,3430,665,242,5178,73731
EASTERN,111968,55530,22679,8977,11032,4541,0,2985,602,1427,6073,225814
SOUTHERN,8801,58514,7635,11456,9748,3478,0,2074,1570,882,749,104907
YAU TSIM MONG,73394,17196,25880,7256,6216,1917,0,2782,242,364,705,135952
SHAM SHUI PO,95294,23720,19001,7547,6161,2448,0,2091,284,412,1295,158253
KOWLOON CITY,33712,64832,17823,19254,14460,4341,0,3912,850,2218,581,161983
WONG TAI SIN,85203,43994,11956,13760,4887,3743,0,1094,673,188,1069,166567
KWUN TONG,109342,70649,24921,25227,7309,6643,0,1909,1443,391,1822,249656
KWAI TSING,82825,62259,17322,23406,7134,5174,0,1708,1374,296,1252,202750
TSUEN WAN,50261,30964,13859,15129,9257,3200,0,1236,3096,1404,506,128912
TUEN MUN,37729,72058,18299,5786,12177,6387,30034,979,5493,287,2210,191439
YUEN LONG,84441,59454,18620,7160,20076,5414,22488,1222,3861,135,3636,226507
NORTH,52922,24583,12650,7882,8538,2876,0,786,828,18,3183,114266
TAI PO,42030,31396,12682,6384,13627,3828,0,902,1203,91,2532,114675
SHA TIN,99553,90326,17551,11296,21276,7376,0,1930,3187,194,3224,255913
SAI KUNG,116589,25829,11843,12129,14271,3370,0,1082,514,309,1306,187242
ISLANDS,17377,16659,5363,46,1953,1025,0,377,1155,13587,902,58444
